Ref,Summary,Issue Type,Description,Priority,Labels,Epic Link,Depends On
BRAND-000,Tenant Branding Governance v1 (Master Tenant First),Epic,"Build a governed branding system where master tenant branding is validated by backend policy, previewed safely, saved reliably, and applied consistently across runtime.",High,"branding,governance,master-tenant-v1",,
BRAND-001,Define Branding Policy v1 and normalization contract,Story,"Create policy spec for allowed branding values, normalization behavior, and validation error contract including v1 rule that customCss is disabled.",High,"branding,policy,backend",BRAND-000,BRAND-000
BRAND-101,Introduce typed backend branding request and response models,Story,"Replace untyped branding update flow with typed DTOs and reject invalid enum or type payloads with structured 400 responses.",High,"branding,backend,api",BRAND-000,BRAND-001
BRAND-102,Implement BrandingPolicyEnforcer service in tenant-service,Story,"Add server-side validation and normalization for palette, ranges, enums, URL fields, and component token whitelist before persistence.",High,"branding,backend,policy",BRAND-000,BRAND-101
BRAND-103,Add POST branding validate endpoint,Story,"Add POST /api/tenants/{tenantId}/branding/validate endpoint returning valid, violations, warnings, and normalized payload without persisting.",High,"branding,backend,api",BRAND-000,BRAND-102
BRAND-104,Enforce policy in PUT branding persistence path,Story,"Integrate policy enforcement into save path so non-compliant branding payloads are rejected and compliant payloads are normalized then persisted.",High,"branding,backend,enforcement",BRAND-000,BRAND-102
BRAND-105,Align backend branding tests with current defaults and policy behavior,Story,"Update branding tests to current defaults and add reject-path and normalization assertions for policy enforcement.",High,"branding,backend,tests",BRAND-000,BRAND-104
BRAND-201,Add frontend API contracts and gateway method for branding validation,Story,"Extend frontend API models and gateway with validateTenantBranding typed request and response support.",High,"branding,frontend,api",BRAND-000,BRAND-103
BRAND-202,Refactor Branding Studio state into dedicated store,Story,"Centralize draft, dirty, validation, and save state to remove duplicated form and default merge logic.",High,"branding,frontend,state",BRAND-000,BRAND-201
BRAND-203,Implement validation-first save UX in Branding tab,Story,"Change save flow to Validate then Save and surface field-level and summary policy violations before persistence.",High,"branding,frontend,ux",BRAND-000,BRAND-202
BRAND-204,Disable customCss in Branding UI for v1,Story,"Remove or disable customCss editing in v1 and ensure payload excludes or backend rejects customCss under policy mode.",Medium,"branding,frontend,policy",BRAND-000,"BRAND-104;BRAND-203"
BRAND-205,Isolate preview scope to Branding tab until save,Story,"Ensure draft preview does not mutate global runtime theme and only applies globally after successful save.",High,"branding,frontend,preview",BRAND-000,BRAND-202
BRAND-301,Reconcile component catalog metadata with actual PrimeNG usage,Story,"Resolve catalog drift including datatable versus table naming and mismatches for dialog, toggleswitch, multiselect, floatlabel, and avatargroup.",Medium,"branding,frontend,catalog",BRAND-000,BRAND-202
BRAND-302,Add CI check for branding catalog drift,Story,"Add deterministic drift checker script and CI gate that fails when catalog usage metadata differs from real imports.",Medium,"branding,ci,quality",BRAND-000,BRAND-301
BRAND-401,Apply saved tenant branding at runtime bootstrap,Story,"Fetch and apply tenant branding during runtime bootstrap so theme persists on reload without opening admin branding tab.",High,"branding,frontend,runtime",BRAND-000,BRAND-104
BRAND-402,Standardize key interactive controls to PrimeNG in admin embedded screens,Story,"Replace selected native select and checkbox controls with PrimeNG equivalents in target admin embedded screens for theme consistency.",Medium,"branding,frontend,primeng",BRAND-000,BRAND-205
BRAND-403,Add end-to-end branding lifecycle test coverage,Story,"Add E2E flow for master tenant branding edit, validate, save, reload, and persisted apply checks including invalid payload blocking.",High,"branding,e2e,quality",BRAND-000,"BRAND-203;BRAND-401"
